Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"MAES, Joachim; FABREGA, DOMENECH Nina; ZULIAN, Grazia; LOPES, BARBOSA Ana Luisa; VIZCAINO, MARTINEZ Maria; IVITS, Eva; POLCE, Chiara; VANDECASTEELE, Ine; MARI, RIVERO Ines; BASTOS, DE; ",Mapping and assessment of ecosystems and their services: trends in ecosystems and ecosystem services in the European Union between 2000 and 2010,,,,,2015,

"Fernández, Néstor; Fernández, Miguel; Alcaraz-Segura, Domingo; Leitao, Pedro J; Guerra, Carlos A; ",Towards a global characterization of ecosystem functional heterogeneity based on essential biodiversity variables,AGU Fall Meeting Abstracts,2016,,B52A-05,2016,

"Bingham, Heather; Doudin, Michel; Weatherdon, Lauren; Despot-Belmonte, Katherine; Wetzel, Florian; Groom, Quentin; Lewis, Edward; Regan, Eugenie; Appeltans, Ward; Güntsch, Anton; ","The biodiversity informatics landscape: elements, connections and opportunities",Research Ideas and Outcomes,3,,e14059,2017,Pensoft Publishers

"Oliveira, Daniel; Alonso, Joaquim; Santos, Sónia; Rocha, Joana; Guerra, Carlos; ",Integrated watershed planning and management: Methodology for the assessment of water quality under Eucalyptus (Eucalyptus globulus Labill.),,,,,2004,

"Alonso, J; Guerra, C; Mamede, J; Martins, I; Machado, A; Brito, A; ",Spatial Information System of Water Resources (North of Portugal-SI. ADD): SDI local contributes and institutional capacity building,INSPIRE Conference,27,,,2011,

"ALONSO, J; CASTRO, P; RIBEIRO, J; MAMEDE, J; MARTINS, I; MARTINS, L; GUERRA, C; SANTOS, S; MACHADO, S; ",Plano de Gestão da Região Hidrográfica do Minho e Lima RH1: Parte complementar C–Sistema de informação e apoio à decisão (SI. ADD),Coordenação e concepção do sistema,,,98,2011,

"Díaz, Sandra; Pascual, Unai; Stenseke, Marie; Martín-López, Berta; Watson, Robert T; Molnár, Zsolt; Hill, Rosemary; Chan, Kai MA; Baste, Ivar A; Brauman, Kate A; ",Assessing nature's contributions to people,Science,359,6373,270-272,2018,American Association for the Advancement of Science

"Debolini, Marta; Marraccini, Elisa; Dubeuf, Jean Paul; Geijzendorffer, Ilse R; Guerra, Carlos; Simon, Marian; Targetti, Stefano; Napoléone, Claude; ",Land and farming system dynamics and their drivers in the Mediterranean Basin,Land use policy,75,,702-710,2018,Pergamon

"Navarro, Laetitia M; Fernandez, Nestor; Guerra, Carlos; Guralnick, Rob; Kissling, W Daniel; Londoño, Maria Cecilia; Muller-Karger, Frank; Turak, Eren; Balvanera, Patricia; Costello, Mark J; ",Monitoring biodiversity change through effective global coordination,Current opinion in environmental sustainability,29,,158-169,2017,Elsevier

"Kim, HyeJin; Rosa, Isabel MD; Alkemade, Rob; Leadley, Paul; Hurtt, George; Popp, Alexander; Van Vuuren, Detlef P; Anthoni, Peter; Arneth, Almut; Baisero, Daniele; ",A protocol for an intercomparison of biodiversity and ecosystem services models using harmonized land-use and climate scenarios,Geoscientific Model Development,11,11,4537-4562,2018,Copernicus GmbH

"Bingham, Heather; Doudin, Michel; Weatherdon, Lauren; Despot-Belmonte, Katherine; Wetzel, Florian; Groom, Quentin; Lewis, Edward; Regan, Eugenie; Appeltans, Ward; Güntsch, Anton; ","Supplementary material 1 from: Bingham H, Doudin M, Weatherdon L, Despot-Belmonte K, Wetzel F, Groom Q, Lewis E, Regan E, Appeltans W, Güntsch A, Mergen P, Agosti D, Penev L, Hoffmann A, Saarenmaa H, Geller G, Kim K, Kim H, Archambeau A, Häuser C, Schmeller D, Geijzendorffer I, García Camacho A, Guerra C, Robertson T, Runnel V, Valland N, Martin C (2017) The Biodiversity Informatics Landscape: Elements, Connections and Opportunities. Research Ideas and Outcomes 3: e14059. https://doi. org/10.3897/rio. 3. e14059",,,,,2017,

"Filipponi, Federico; Valentini, Emiliana; Nguyen Xuan, Alessandra; Guerra, Carlos A; Wolf, Florian; Andrzejak, Martin; Taramelli, Andrea; ",Global MODIS fraction of green vegetation cover for monitoring abrupt and gradual vegetation changes,Remote Sensing,10,4,653,2018,MDPI

"Giling, Darren P; Beaumelle, Léa; Phillips, Helen RP; Cesarz, Simone; Eisenhauer, Nico; Ferlian, Olga; Gottschall, Felix; Guerra, Carlos; Hines, Jes; Sendek, Agnieszka; ",A niche for ecosystem multifunctionality in global change research,Global Change Biology,25,3,763-774,2019,

"Cameron, Erin K; Martins, Inês S; Lavelle, Patrick; Mathieu, Jérôme; Tedersoo, Leho; Gottschall, Felix; Guerra, Carlos A; Hines, Jes; Patoine, Guillaume; Siebert, Julia; ",Global gaps in soil biodiversity data,Nature ecology & evolution,2,7,1042-1043,2018,Nature Publishing Group UK London

"Eisenhauer, Nico; Bonn, Aletta; A. Guerra, Carlos; ",Recognizing the quiet extinction of invertebrates,Nature communications,10,1,50,2019,Nature Publishing Group UK London

"Maes, Joachim; Crossman, Neville D; Burkhard, Benjamin; ",Mapping ecosystem services,Routledge handbook of ecosystem services,,,188-204,2016,Routledge

"Geijzendorffer, Ilse R; Beltrame, Coralie; Chazee, Laurent; Gaget, Elie; Galewski, Thomas; Guelmami, Anis; Perennou, Christian; Popoff, Nadège; Guerra, Carlos A; Leberger, Roxanne; ",A more effective Ramsar Convention for the conservation of Mediterranean wetlands,Frontiers in Ecology and Evolution,7,,21,2019,Frontiers Media SA

"Maes, Joachim; Polce, Chiara; Zulian, Grazia; Vandecasteele, Ine; Perpiña, Carolina; Rivero, Inés Marí; Guerra, Carlos; Vallecillo, Sara; Vizcaino, Pilar; Hiederer, Roland; ",5.5. 1. Mapping regulating ecosystem services,Mapping ecosystem services,,,177,2017,"Pensoft Publishers, Sofia"

"Guerra, Carlos A; Pendleton, Linwood; Drakou, Evangelia G; Proença, Vânia; Appeltans, Ward; Domingos, Tiago; Geller, Gary; Giamberini, S; Gill, Mike; Hummel, Herman; ",Finding the essential: Improving conservation monitoring across scales,Global Ecology and Conservation,18,,e00601,2019,Elsevier

"Cameron, Erin K; Martins, Inês S; Lavelle, Patrick; Mathieu, Jérôme; Tedersoo, Leho; Bahram, Mohammad; Gottschall, Felix; Guerra, Carlos A; Hines, Jes; Patoine, Guillaume; ",Global mismatches in aboveground and belowground biodiversity,Conservation Biology,33,5,1187-1192,2019,

"Phillips, Helen RP; Guerra, Carlos A; Bartz, Marie LC; Briones, Maria JI; Brown, George; Crowther, Thomas W; Ferlian, Olga; Gongalsky, Konstantin B; Van Den Hoogen, Johan; Krebs, Julia; ",Global distribution of earthworm diversity,Science,366,6464,480-485,2019,American Association for the Advancement of Science

"Koellner, Thomas; Bonn, Aletta; Arnhold, Sebastian; Bagstad, Kenneth J; Fridman, Dor; Guerra, Carlos A; Kastner, Thomas; Kissinger, Meidad; Kleemann, Janina; Kuhlicke, Christian; ",Guidance for assessing interregional ecosystem service flows,Ecological Indicators,105,,92-106,2019,Elsevier

"Eisenhauer, Nico; Guerra, Carlos A; ",Global maps of soil nematode worms,Nature,572,7768,187-188,2019,NATURE PUBLISHING GROUP

"Guerra, Carlos A; Heintz-Buschart, Anna; Sikorski, Johannes; Chatzinotas, Antonis; Guerrero-Ramírez, Nathaly; Cesarz, Simone; Beaumelle, Léa; Rillig, Matthias C; Maestre, Fernando T; Delgado-Baquerizo, Manuel; ",Blind spots in global soil biodiversity and ecosystem function research,Nature communications,11,1,3870,2020,Nature Publishing Group UK London

"Rosa, Isabel MD; Guerra, Carlos A; ",Pathways of human development threaten biomes’ protection and their remaining natural vegetation,bioRxiv,,,776443,2019,Cold Spring Harbor Laboratory

"Guerra, Carlos António; Rosa, Isabel; Pereira, Henrique M; ",Change versus stability: are protected areas particularly pressured by global land cover change?,Landscape Ecology,34,12,2779-2790,2019,Springer Netherlands

